year;index;address
2014;32;CONSTRUIRE CASA UNIFAMILIALA CU REGIMUL S+P+E+M,refacere IMPREJMUIRE
2014;33;MODERNIZARE SI ETAJARE CASA FAMILIALA, REFACERE IMPREJMUIRE SI AMENAJARI EXTERIOARE  . Regim final de inaltime: S+P+2E, nr. final de unitati locative: 2.
2014;34;CONTINUARE LUCRÃRI ÎNCEPUTE ÎN BAZA AUTORIZAŢIEI DE CONSTRUIRE   NR. 1847  DIN 12.11.2008 CU PRIVIRE LA   INTERNAT şi CANTINÃ     ,  cu regim   de inaltime  S+P+3E   , ÎMPREJMUIRE    - FÃRÃ MODIFICAREA SOLUŢIEI CONSTRUCTIVE ( s-au executat doar fundaţiile, elevaţiile şi planşeul peste subsol)
2014;35;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;36;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;37;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;38;ETAJARE BLOC DE LOCUINTE
2014;39;LOCUINTA UNIFAMILIALA D+P+M, IMPREJMUIRE, AMENAJARI EXTERIOARE
2014;40;RECOMPARTIMENTARE INTERIOARA, AMENAJARE MANSARDA IN POD EXISTENT (FARA MODIFICARE FORMA ACOPERIS) SI TERMOIZOLARE CASÃ UNIFAMILIALÃ.
2014;41;CONSTRUIRE CASA DE VACANTA CU REGIM DE INALTIME P+M, IMPREJMUIRE SI AMENAJARI EXTERIOARE  .
2014;42;SCHIMBARE PARTIALA DE DESTINATIE DIN GARAJ DUBLU IN SPATIU COMERCIAL, AMPLASARE FIRMA LUMINOASA PE FATADA IMOBIL
2014;43;CONTINUARE LUCRARI CU MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 886/19.07.2012 - HALA cU SEDIU DE FIRMA SI ATELIER ACCESORIZARE AUTO CU REGIM DE INALTIME S+P+M Modificari: regim de inaltime de la S+P+M la P+E, modificarea in plan a dimensiunilor halei, modificarea unor functiuni precum si a dimensiunilor unor spatii
2014;44;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;45;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;46;EXTINDERE CASA UNIFAMILIALA CU REGIMUL DE INALTIME p+m
2014;47;REABILITARE  TERMICA A BLOCULUI  DE LOCUINTE   “LAMÃ A”  SITUAT PE  STR.   PE STR. ALEXANDRU VLAHUŢÃ    ( EXPERTIZARE SI AUDIT ENERGETIC).
2014;48;SCHIMBARE DESTINATIE IMOBIL PENTRU AMENAJARE COFETARIE SI LABORATOR, DESCHIDERE ACCES STRADAL SI AMPLASARE FIRMA LUMINOASA
2014;49;CONSTRUIRE HALA ASAMBLARE CABLURI P+1 SI BIROURI P+2, IMPREJMUIRE SI AMENAJARI EXTERIOARE.
2014;50;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME D+P+E, ÎMPREJMUIRE, MICROSTATIE DE EPURARE, AMENAJARI EXTERIOARE.
2014;51;CASÃ FAMILIALÃ CU 2 APARTAMENTE CU REGIM DE ÎNÃLŢIME S+P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2014;52;CONSTRUIRE CASA UNIFAMILIALA CU REGIM DE INALTIME D+P+M, IMPREJMUIRE SI AMENAJARI EXTERIOARE  .
2014;53;MODIFICARI CONSTRUCTIVE SI RECOMPARTIMENTARE APARTAMENTE
2014;54;CONTINUARE LUCRARI FARA MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 1423/13.10.2009 - LOCUINTA UNIFAMILIALA P+1E Continuare lucrari:finisaje exterioare, amenajari exterioare
2014;55;CONTINUARE LUCRARI CU MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 402/20.04.2010-CASA UNIFAMILIALA P+E CU PISCINA Modificari:recompartimentari interioare, modificare pozitie si dimensiuni goluri pe fatade, renuntarea la realizarea piscinei de pe terasa circulabila, inlocuire invelitoare din panouri sandwich cu planseu terasa peste casa scarii.
2014;56;REAMENAJARE SI REAMPLASARE GARD PE LIMITA DE PROPRIETATE AFERENTA STRAZII O.GOGA
2014;57;DEMISOL PENTRU GARAJ AUTO SI DEPOZIT
2014;58;EXTINDERE CORP C9, ETAJARE SI MANSARDARE PENTRU AMENAJARE 2 APARTAMENTE, SCHIMBARE DE DESTINATIE DIN GARAJ SI ATELIER IN SPATIU COMERCIAL, RECOMPARTIMENTARI INTERIOARE Regim final de inaltime P+E+M
2014;59;IMOBIL cu FUNCTIUNI MIXTE -spatiu comercial la parter si locuinta -5 apartamente cu regimul D+P+2E
2014;60;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;61;Reamenajare si mansardare casa unifamiliala cu reg. P+M
2014;62;CRESA cu REG. DE INALTIME P+E+E RETRAS,amplasare firma luminoasa pe fatada cladirii,imprejmuire teren
2014;63;REABILITARE IMOBIL EXISTENT-STR.DRAGALINA NR.93-INTERVENTII DE PRIMA NECESITATE IN REGIM DE URGENTA
2014;64;IMOBIL MIXT PT SPATIU COMERCIAL SI LOCUINTE S+P+3E, AMENAJARI EXTERIOARE
2014;65;LUCRARI DE INTERVENTIE IN PRIMA URGENTA: CERCETARI SI INVESTIGATII PENTRU STABILIREA SOLUTIEI DE RESTAURARE LA ORNAMENTELE DE CORNISA, DEZAFECTARE ELEMENTE DEGRADATE, REPARATII LOCALE  In urmatoarele conditii:  Se va incheia abonament cu DPMEP pentru amplasarea schelei pe domeniul public . Conform Legii nr.50/1991, republicată, art.7, alin.(16) documentaţia tehnica necesară se va definitiva pe parcursul sau la încheierea executării lucrărilor, cu respectarea avizelor si actului administrativ al autoritatii competente pentru protectia mediului.
2014;66;CONSTRUIRE 2 LOCUINTE UNIFAMILIALE CUPLATE CU REGIM DE INALTIME S+P+M, IMPREJMUIRE SI AMENAJARI EXTERIOARE  .
2014;67;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;68;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;69;EXTINDERE CASÃ EXISTENTA PARTER (CORP II).
2014;70;LUCRARI DE INTERVENTIE IN PRIMA URGENTA:  CONSOLIDARE CALCAN  In urmatoarele conditii: Conform Legii nr.50/1991, republicata, art.7, alin.(16), documentatia tehnica necesara se va definitiva pe parcursul sau la incheierea executarii lucrarilor, cu respectarea avizelor si actului administrativ al autoritatii competente pentru protectia mediului.
2014;71;MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU A.C. nr.1678/27.12.2010 PENTRU LUCRARI DE EXTINDERE SI MANSARDARE CASÃ UNIFAMILIALÃ CU REGIM FINAL DE ÎNÃLŢIME Sp+P+M, AMENAJARI EXTERIOARE. Modificarile constau in: modificare forma sarpanta si invelitoare, fatade.
2014;72;IMOBIL DE LOCUINTE COLECTIVE CU 6 APARTAMENTE CU REGIM DE ÎNÃLŢIME S+P+E+Eretras, AMENAJARI EXTERIOARE.
2014;73;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME Dp+P+M, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2014;74;SCHIMBARE PARTIALA DE DESTINATIE DIN LOCUINTA IN SPATIU COMERCIAL SI AMENAJARE TERASA
2014;75;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R
2014;76;ÎNLOCUIRE   FIRME LUMINOASE   ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei   spaţiului comercial.
2014;77;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;78;BRANSAMENT  APÃ ŞI RACORD CANAL MENAJER.
2014;79;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;80;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;81;AMPLASARE FIRMA LUMINOASA PE FATADA IMOBILULUI, IN SISTEM PROVIZORIU SI DEMONTABIL.
2014;82;CONTINUAREA LUCRARILOR CU MODIFICAREA SOLUTIEI CONSTRUCTIVE LA CASA UNIFAMILIALA Sp+P+E-A.C.INITIALA NR.445/22.04.2013.SE MODIFICA COMPARTIMENTARILE INTERIOARE SI FATADELE, AMENAJARI EXTERIOARE.
2014;83;LOCUINTA FAMILIALA P+E CU DOUA APARTAMENTE, IMPREJMUIRE SI AMENAJARI EXTERIOARE
2014;84;CONSTRUIRE DRUM ACCES
2014;85;CONSTRUIRE CASA DE VACANTA CU REGIM DE INALTIME D+P+M, IMPREJMUIRE, MICROSTATIE DE EPURARE SI AMENAJARI EXTERIOARE  .
2014;86;MODIFICARI INTERIOARE IN APARTAMENT SI USCATORIE PENTRU AMENAJARE 2 UNITATI LOCATIVE, INCHIDERE LOGIE EXISTENTA.
2014;87;MODERNIZARE STR LOCOMOTIVEI
2014;88;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;89;ALIMENTARE CU ENERGIE ELECTRICÃ IMOBIL EXISTENT – STAŢIE DE DISTRIBUŢIE  CARBURANŢI  .
2014;90;Extindere casa unifamiliala cu reg.Spartial +P
2014;91;IMOBIL de LOCUINTE colective cu 3 apartamente,imprejmuirea terenului
2014;92;LUCRÃRI  DE INTERVENŢIE DE PRIMÃ NECESITATE  :     REPARAŢII LA ÎNVELITOAREA  IMOBILULUI EXISTENT-  COLEGIUL TEHNIC  “AUGUSTIN MAIOR”.
2014;93;REAMENAJARE, EXTINDERE SI ETAJARE CASA EXISTENTA PENTRU REALIZARE LOCUINTA COLECTIVA MICA CU 3 APARTAMENTE CU REGIM DE INALTIME D+P+2E,  AMENAJARI EXTERIOARE  .
2014;94;CONSTRUIRE CASA DE VACANTA CU REGIM DE INALTIME D+P+M, IMPREJMUIRE, MICROSTATIE DE EPURARE SI AMENAJARI EXTERIOARE  .
2014;95;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME Sp+P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2014;96;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2014;97;INLOCUIRE CONDUCTE DE GAZE NATURALE DE   PRESIUNE REDUSÃ     SI  BRANSAMENTE  DE GAZE NATURALE DE    PRESIUNE  REDUSÃ  ( in montaj subteran) pe străzile:     Eugen Ionesco, Pablo Picasso, George Bacovia, Ceahlău şi Câmpului
2014;98;BRANSAMENT  APÃ ŞI REŢEA  APÃ ÎN INCINTA IMOBILULUI EXISTENT .
2014;99;EXTINDERE  CONDUCTÃ  GAZ DE PRESIUNE REDUSÃ ,  BRANSAMENT   DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) ,    P.R.
2014;100;EXTINDERE CONDUCTÃ DE APÃ  ŞI  BRANSAMENT  APÃ   .
2014;101;CASA UNIFAMILIALA CU REGIMUL DE INALTIME P+E imprejmuirea terenului
2014;102;CASA UNIFAMILIALA P+M SI AMENAJARI EXTERIOARE
2014;103;CASA UNIFAMILIALA D+p+E, AMENAJARI EXTERIOARE
2014;104;MODIF SOL C-TIVA AUT CU A.C. nr.46/26.01.2010 PT CONSTR CASÃ UNIFAM CU REGIM DE ÎNÃLŢIME D+P+E, MICROST DE EP, ÎMPREJMUIRE, AM INCINTA. Modif constau in: modif amplasament c-tie - paralel cu limita estica (cu respectarea reglementarilor de urbanism aprobate), red suprafetelor c-tiei, modif compartim int si functiuni incaperi, goluri, fatade.
2014;105;EXTINDERE SI ETAJARE CASÃ UNIFAMILIALÃ CU REGIM FINAL DE ÎNÃLŢIME P+E,  AMENAJARI EXTERIOARE.
2014;106;ANEXA GOSPODAREASCA PARTER.
2014;107;CASA UNIFAMILIALA D+P+E, AMENAJARI EXTERIOARE
2014;108;AMPLASARE FIRMA LUMINOASA PE FATADA
2014;109;REFATADIZARE SI REFACERE ACOPERIS LA CASA FAMILIALA
2014;110;PAVILION GRADINA IN SISTEM PROVIZORIU SI DEMONTABIL PE O PERIOADA DE ZECE ANI
2014;111;CONTINUARE LUCRARI FARA MODIFICAREA SOLUTIEI CONSTRUCTIVE AUTORIZATE CU AC 1483 DIN 27.10.2009. REGIM DE INALTIME S+P+E
2014;112;MODIFICARI INTERIOARE SI MANSARDARE CASA DE LOCUIT PARTER.REGIM DE INALTIME FINAL P+M.NUMAR FINAL DE APARTAMENTE DOUA
2014;113;AMPLASARE PLACA COMEMORATIVA PE FATADA PRINCIPALA A IMOBILULUI „REDUTA”
2014;114;CONSTRUIRE CASA DE LOCUIT CU 2 APARTAMENTE Sp+P+M SI AMENAJARI EXTERIOARE
2014;115;MODIF SOL C-TIVA AUT CU A.C. 753/09.06.2008 SI A.C. 324/14.03.2013 PT CONSTRUIRE ANSAMBLU REZIDENTIAL, COMERT, BIROURI – BLOC „E” DE LOC COL S+P+6E+Eretras+Etehnic. Modifi constau in: modif regim de inaltime in S+P+4E+Eretras, reducere suprafete c-tie, realiz a 2 case de sc in loc de 3, reducere nr ap la 68,  modif subsol, comp int, goluri,fatade.
2014;116;CASA UNIFAMILIALA D+P+M, GARAJ AUTO SI MAGAZIE P+E, IMPREJMUIRE SI AMENAJARI EXTERIOARE
2014;117;CONTINUARE FARA MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU A.C. nr.1347/25.08.2008 PENTRU CONSTRUIRE ANSAMBLU REZIDENTIAL, COMERT, BIROURI – BLOC „B” DE LOCUINTE COLECTIVE CU REGIM DE INALTIME S+P+6E+Eretras+Etehnic.
2014;118;CONTINUARE FARA MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU A.C. nr.1072/16.07.2008 PENTRU CONSTRUIRE ANSAMBLU REZIDENTIAL, COMERT, BIROURI – IMOBIL DE LOCUINTE SI BIROURI CORP „F” CU REGIM DE INALTIME S+P+8E+Etehnic.
2014;119;CONTINUARE FARA MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU A.C. nr.2031/16.11.2007 PENTRU CONSTRUIRE ANSAMBLU REZIDENTIAL, COMERT, BIROURI – BLOC „A” DE LOCUINTE COLECTIVE CU REGIM DE INALTIME S+P+6E+Eretras+Etehnic.
2014;120;CONTINUARE LUCRÃRI ÎNCEPUTE ÎN BAZA AUTORIZAŢIEI DE CONSTRUIRE   NR. 1435 DIN 13.10.2009 CU PRIVIRE LA   CASA UNIFAMILIALÃ    , cu regim final de inaltime S+P+M  , ÎMPREJMUIRE ŞI AMENAJÃRI EXTERIOARE   - FÃRÃ MODIFICAREA SOLUŢIEI CONSTRUCTIVE  .
2014;121;MODERNIZARE    FIRME LUMINOASE  AUTORIZATE CU NR. 1274/15.08.2008 ŞI MONTARE FIRMÃ LUMINOASÃ  ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei   spaţiului comercial
2014;122;MODERNIZARE    FIRME LUMINOASE     ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei   contractului de închiriere .
2014;123;AMENAJARE  9 LOCURI DE PARCARE
2014;124;IMOBIL de LOCUINTE COLECTIVE -bloc H2 cu 136 apartamente-regimul de inaltime D+P+7E+ETAJ RETRAS
2014;125;REPARATII CASA FAMILIALA  SI AMENAJARE MANSARDA IN POD EXISTENT REGIM FINAL DE INALTIME  P+M SI AMENAJARI EXTERIOARE
2014;126;AMPLASARE FIRMA LUMINOASA PE FATADA IMOBILULUI, IN SISTEM PROVIZORIU SI DEMONTABIL. Durata de existenţă pe perioada valabilităţii contractului de  locatiune din 01.05.2011. investitor -SC REVIEW SRL-
2014;127;AMPLASARE FIRMA LUMINOASA PE FATADA IMOBILULUI, IN SISTEM PROVIZORIU SI DEMONTABIL. Durata de existenţă pe perioada valabilităţii contractului de  inchiriere nr. 285681 din 08.03.2007 si act aditional nr. 25.02.2013. -     investitor  S.C. CLARFON S.R.L.  -
2014;128;CONSTRUIRE GARAJ AUTO, IMPREJMUIRE TEREN PE LATURA ESTICA SI AMENAJARI EXTERIOARE
2014;129;CONTINUARE LUCRARI FARA MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU A.C. nr.1736/17.12.2009, CONSTRUIRE BISERICA ORTODOXA.
2014;130;EXTINDERE SI MANSARDARE LOCUINTA UNIFAMILIALA,  REGIM FINAL DE INALTIME  D+P+M SI AMENAJARI EXTERIOARE
2014;131;CONTINUARE LUCRARI CU MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 1260/07.10.2013-LOCUINTA TIP DUPLEX CU 2 APARTAMENTE IN REGIM CUPLAT P+1E Modificari:transformarea terasei necirculabile peste ap.2 in terasa partial circulabila si ridicarea  casei de scara peste ap.2 pana la nivelul terasei peste etajul 1.
2014;132;ANSAMBLUL DE LOCUINTE COLECTIVE S+P+4E - IMOBIL 2' CU 55 APARTAMENTE, AMENAJARI EXTERIOARE
2014;133;AMPLASARE 2 FIRME LUMINOASE IN SISTEM PROVIZORIU SI DEMONTABIL DURATA DE EXISTENTA: PE PERIOADA CONTRACTULUI DE SUBINCHIRIERE NR.211/23.04.2013 INVESTITOR: SC SERIOUS BET SRL
2014;134;LOCUINTA UNIFAMILIALA P+ETAJ PARTIAL, FOISOR SI AMENAJARI EXTERIOARE.
2014;135;REFATADIZARE IMOBIL-PAVILION ADMINISTRATIV P+8E+ETAJ TEHNIC, AMENAJARE INCINTA,REFACERE IMPREJMUIRE
2014;136;CONTINUARE LUCRARI CU MODIFICAREA SOLUTIEI CONSTRUCTIVE LA HALA METALICA-A.C.INITIALE NR. 918/12.07.2004 SI   NR. 1540/12.12.2012 - SE MODIFICA FATADELE  SI COMPARTIMENTARILE  INTERIOARE,AMENAJARI EXTERIOARE.
2014;137;AMENAJARE STAŢIE DE BETOANE ÎN INCINTA BAZEI DE PROPUCŢIE  TCI CG SA  .
2014;138;AMPLASARE FIRMA LUMINOASA PE FATADA INTERIOARA
2014;139;CASA UNIFAMILIALA S+P+2E, IMPREJMUIRE SI AMENAJARI EXTERIOARE
2014;140;REFATADIZARE, MODERNIZARE SI RECOMPARTIMENTARE CASA DE LOCUIT S+P
2014;141;MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU AC 678 DIN 03.06.2013 PENTRU CONSTRUIRE LOCUINTA UNIFAMILIALA D+P+E - RECOMPARTIMENTARA INTERIOARA, TRANSFORMARE DEMISOL IN SUBSOL SI INTRODUCERE ETAJ TEHNIC CU PANOURI SOLARE, REGIM DE INALTIME S+P+E+ETAJ TEHNIC
2014;142;CONSTRUIRE CLADIRE DE LOCUINTE COLECTIVE CU 3 APARTAMENTE P+2E
2014;143;EXTINDERE IMOBIL EXISTENT PARTER CU UN CORP NOU PARTER PENTRU MAGAZIN DE PREZENTARE, REFACERE IMPREJMUIRE, AMENAJARI EXTERIOARE
2014;144;CONTINURE LUCRARI FARA MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 1366/29.09.2009 -DOUA LOCUINTE UNIFAMILIALE CUPLATE D+P+M Continuare lucrari: finisaje exterioare, amenajari exterioare
2014;145;REFATADIZARE, REPARATII SI RECOMPARTIMENTARE CASA EXISTENTA PARTER.
2014;146;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME D+P, PISCINA, ZIDURI DE SPRIJIN, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2014;147;AMENAJARE POD CA SPATIU LOCATIV LA CASÃ FAMILIALÃ CU REGIM FINAL DE ÎNÃLŢIME D+P+M ŞI 2 APARTAMENTE.
2014;148;SCARA METALICA EXTERIOARA, MODIFICARI INTERIOARE, REABILITARE TERMICA IMOBIL P+2E, AMENAJARI EXTERIOARE
2014;149;INSTALAŢIE DE ILUMINAT EXTERIOR ŞI SUPRAVEGHERE VIDEO A PARCULUI ETNOGRAFIC NAŢIONAL”ROMULUS VUIA”.
2014;150;SCHIMBARE DESTINATIE DIN GRAJD SI SURA IN LOCUINTA EXTINDERE SI ETAJARE CORP C2
2014;151;SUPRAETAJARE IMOBIL DE LOCUIT EXISTENT P+E CU 24 APARTAMNETE REGIM DE INALTIME FINAL P+2E.NUMAR FINAL DE APARTAMENTE 34
2014;152;AMENAJARE 10 LOCURI DE PARCARE
2014;153;CONSTRUIRE BALCOANE INCHISE
2014;154;MODIFICARI INTERIOARE SI SCHIMBARE DE DESTINATIE DIN GARAJ SI ATELIER IN SPATIU DE LOCUIT, AMENAJARI EXTERIOARE  .
2014;155;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;156;IMPREJMUIREA TERENULUI IN SOLUTIE PROVIZORIE
2014;157;CASA UNIFAMILIALA cu regimul de inaltime P+M
2014;158;Reabilitare termica imobil si recompartimentari ap.1
2014;159;EXTINDERE  CONDUCTÃ  GAZ DE PRESIUNE REDUSÃ ŞI   BRANSAMENT   DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) ,   P.R.
2014;160;REFACERE ÎMPREJMUIRE PE LIMITELE LATERALE ALE AMPLASAMENTULUI.
2014;161;BRANSAMENT  APÃ ŞI RACORD CANAL MENAJER.
2014;162;AMPLASARE FIRMA LUMINOASA IN SISTEM PROVIZORIU SI DEMONTABIL PE FATADA IMOBILULUI
2014;163;REPARATII CAPITALE ,  EXTINDERE SI ETAJARE LOCUINTA UNIFAMILIALA CU REGIM FINAL DE INALTIME P+E, REFACERE IMPREJMUIRE LA STRADA, AMENAJARI EXTERIOARE
2014;164;DESFIINTARE CONSTRUCTII EXSITENTE CORP C1 SI C2
2014;165;CASA UNIFAMILIALA P+M, IMPREJMUIRE SI AMENAJARI EXTERIOARE
2014;166;CONSTRUIRE ACCES DIN EXTERIOR SI SCHIMBAREA DESTINATIEI  APARTAMENTULUI NR.78 DIN LOCUINTA IN SPATIU COMERCIAL
2014;167;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME S+P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2014;168;CONTINUAREA LUCRARILOR CU MODIFICAREA SOLUTIEI CONSTRUCTIVE LA TREI LOCUINTE UNIFAMILIALE INSIRUITE P+E-A.C.INITIALA NR.1677/27.11.2009.SE MODIFICA COMPARTIMENTARILE INTERIOARE SI FATADELE,AMENAJARI EXTERIOARE.
2014;169;RECONSTRUIRE INTRARI BLOC LA SCARILE 1, 2, 3
2014;170;Amplasare caseta luminoasa pe calcanul cladirii existente
2014;171;Extindere si mansardare casa familiala,garaj auto,piscina
2014;172;RECOMPARTIMENTARE, EXTINDERE SI ETAJARE CASÃ FAMILIALÃ CU REGIM FINAL DE ÎNÃLŢIME D+P+E ŞI 2 UNITATI LOCATIVE, AMENAJARI EXTERIOARE
2014;173;MODERNIZAREA FLUXURILOR TEHNOLOGICE IN CADRUL SECTIEI DE PRODUSE SINTERIZATE METALICE COMPLEXE – REALIZARE FUNDATIE UTILAJ.
2014;174;Extindere,modificari interioare si etajare casa unifamiliala cu reg. P+E
2014;175;CASA UNIFAMILIALA cu regimul de inaltime D+P+E,IMPREJMUIREA TERENULUI
2014;176;REAMENAJARE TERASA SEZONIERA IN SISTEM PROVIZORIU SI DEMONTABIL DURATA DE EXISTENTA: PANA LA 31.10.2014 INVESTITOR: SC NEW MAR CATERING SRL CUI 30484328
2014;177;CASA UNIFAMILIALA D+P+E+M, AMENAJARI EXTERIOARE
2014;178;MODERNIZARE, IZOLARE SI MANSARDARE CLADIRE EXISTENTA, AMENAJARI EXTERIOARE
